"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Bucurest_rcp45"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
txgt50p,monthly,1971,2100,0.012964233966293,0.0155899647153013,0.0182052043138419
txgt50p,DJF,1971,2100,0.0920209836825785,0.170095216162768,0.255333254300361
txgt50p,MAM,1971,2100,0.0871526983400696,0.160742731979291,0.231768219832736
txgt50p,JJA,1971,2100,0.219997528117662,0.284178187403994,0.343664347459414
txgt50p,SON,1971,2100,0.053763440860215,0.11895893363319,0.185728250244379
tx10p,annual,1971,2100,-0.0749371745104959,-0.0592635771883804,-0.0447453868694068
tx10p,monthly,1971,2100,0,0,0
tx10p,DJF,1971,2100,-0.07168458781362,-0.042090761035597,-0.0134408602150538
tx10p,MAM,1971,2100,-0.0673400673400673,-0.0435621725944307,-0.0188835789194212
tx10p,JJA,1971,2100,-0.0867152271938952,-0.0637196336121067,-0.0423482133159553
