"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
hddheat18,annual,1971,2100,-4.56448490566038,-3.91269999999997,-3.25406864406779
cddcold18,annual,1971,2100,1.53188902439025,1.9824826923077,2.44327340425532
gddgrow10,annual,1971,2100,3.13947892561984,3.82247045454546,4.50927980769231
cdd,annual,1971,2100,0,0.03125,0.0606060606060606
cwd,annual,1971,2100,0,0,0
r10mm,annual,1971,2100,0,0.0108695652173913,0.0333333333333333
r10mm,monthly,1971,2100,0,0,0
r10mm,DJF,1971,2100,0,0,0
r10mm,MAM,1971,2100,0,0,0.0181818181818182
r10mm,JJA,1971,2100,-0.0131578947368421,0,0
r10mm,SON,1971,2100,0,0,0.0185185185185185
r20mm,annual,1971,2100,-0.00862068965517241,0,0
r20mm,monthly,1971,2100,0,0,0
r20mm,DJF,1971,2100,0,0,0
r20mm,MAM,1971,2100,0,0,0
r20mm,JJA,1971,2100,0,0,0
r20mm,SON,1971,2100,0,0,0
rx1day,annual,1971,2100,-0.050484288,-0.0107736724528302,0.00915276521739125
rx1day,monthly,1971,2100,-0.000699399120643432,0.000308648963797743,0.00134094349775785
rx1day,DJF,1971,2100,-0.048162816,-0.00780611789473686,0.0248668625454545
rx1day,MAM,1971,2100,-0.0425441750943396,0,0.0371774117647059
rx1day,JJA,1971,2100,-0.0731126399999999,-0.01376784,0.0348231272727272
rx1day,SON,1971,2100,-0.040934496,0,0.0396815834482759
rx5day,annual,1971,2100,-0.0604324407272737,0.00903852375652138,0.0824707464252633
rx5day,monthly,1971,2100,-0.00199587449693433,-0.00030430015617533,0.00140473741140681
rx5day,DJF,1971,2100,-0.0794952102857148,-0.0149999472212116,0.0447614419924529
rx5day,MAM,1971,2100,-0.0998987620607988,-0.0319230311999996,0.036582101485714
rx5day,JJA,1971,2100,-0.0712813232842118,0.0148636640492295,0.0973684147591832
rx5day,SON,1971,2100,-0.09627722868706,-0.0209948526185571,0.0556173419294113
prcptot,annual,1971,2100,-0.509074062545455,0.0257880918857138,0.593529225795919
prcptot,monthly,1971,2100,-0.00239403572378517,0.000970496741063643,0.00434728576
prcptot,DJF,1971,2100,-0.114673116,0.108597812806451,0.350997151135135
prcptot,MAM,1971,2100,-0.0749843999999996,0.172994529196262,0.400701013333333
